study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-54,Space biology research study on Drosophila melanogaster - GLDS-54,2017,ISS Expedition 60,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1122/example.glds-54,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-54,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-55,Space biology research study on Caenorhabditis elegans - GLDS-55,2018,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-55,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-56,Space biology research study on Homo sapiens - GLDS-56,2019,,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1124/example.glds-56,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-56,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-57,Space biology research study on Rattus norvegicus - GLDS-57,2020,ISS,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-57,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-58,Space biology research study on Mus musculus - GLDS-58,2021,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1126/example.glds-58,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-58,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-59,Space biology research study on Arabidopsis thaliana - GLDS-59,2022,ISS Expedition 60,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-59,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-60,Space biology research study on Drosophila melanogaster - GLDS-60,2023,Space Shuttle,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1128/example.glds-60,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-60,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-61,Space biology research study on Caenorhabditis elegans - GLDS-61,2024,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-61,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-62,Space biology research study on Homo sapiens - GLDS-62,2015,ISS,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1130/example.glds-62,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-62,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-63,Space biology research study on Rattus norvegicus - GLDS-63,2016,ISS Expedition 50,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-63,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-64,Space biology research study on Mus musculus - GLDS-64,2017,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1132/example.glds-64,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-64,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-65,Space biology research study on Arabidopsis thaliana - GLDS-65,2018,Space Shuttle,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-65,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-66,Space biology research study on Drosophila melanogaster - GLDS-66,2019,,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1134/example.glds-66,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-66,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-67,Space biology research study on Caenorhabditis elegans - GLDS-67,2020,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-67,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-68,Space biology research study on Homo sapiens - GLDS-68,2021,ISS Expedition 50,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1136/example.glds-68,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-68,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-69,Space biology research study on Rattus norvegicus - GLDS-69,2022,ISS Expedition 60,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-69,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-70,Space biology research study on Mus musculus - GLDS-70,2023,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1138/example.glds-70,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-70,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-71,Space biology research study on Arabidopsis thaliana - GLDS-71,2024,,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-71,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-72,Space biology research study on Drosophila melanogaster - GLDS-72,2015,ISS,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1140/example.glds-72,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-72,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-73,Space biology research study on Caenorhabditis elegans - GLDS-73,2016,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-73,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-74,Space biology research study on Homo sapiens - GLDS-74,2017,ISS Expedition 60,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1142/example.glds-74,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-74,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-75,Space biology research study on Rattus norvegicus - GLDS-75,2018,Space Shuttle,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-75,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-76,Space biology research study on Mus musculus - GLDS-76,2019,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1144/example.glds-76,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-76,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-77,Space biology research study on Arabidopsis thaliana - GLDS-77,2020,ISS,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-77,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-78,Space biology research study on Drosophila melanogaster - GLDS-78,2021,ISS Expedition 50,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1146/example.glds-78,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-78,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-79,Space biology research study on Caenorhabditis elegans - GLDS-79,2022,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-79,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-80,Space biology research study on Homo sapiens - GLDS-80,2023,Space Shuttle,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1148/example.glds-80,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-80,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-81,Space biology research study on Rattus norvegicus - GLDS-81,2024,,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-81,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-82,Space biology research study on Mus musculus - GLDS-82,2015,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1150/example.glds-82,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-82,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-83,Space biology research study on Arabidopsis thaliana - GLDS-83,2016,ISS Expedition 50,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-83,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-84,Space biology research study on Drosophila melanogaster - GLDS-84,2017,ISS Expedition 60,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1152/example.glds-84,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-84,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-85,Space biology research study on Caenorhabditis elegans - GLDS-85,2018,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-85,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-86,Space biology research study on Homo sapiens - GLDS-86,2019,,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1154/example.glds-86,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-86,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-87,Space biology research study on Rattus norvegicus - GLDS-87,2020,ISS,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-87,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-88,Space biology research study on Mus musculus - GLDS-88,2021,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1156/example.glds-88,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-88,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-89,Space biology research study on Arabidopsis thaliana - GLDS-89,2022,ISS Expedition 60,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-89,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-90,Space biology research study on Drosophila melanogaster - GLDS-90,2023,Space Shuttle,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1158/example.glds-90,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-90,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-91,Space biology research study on Caenorhabditis elegans - GLDS-91,2024,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-91,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-92,Space biology research study on Homo sapiens - GLDS-92,2015,ISS,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1160/example.glds-92,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-92,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-93,Space biology research study on Rattus norvegicus - GLDS-93,2016,ISS Expedition 50,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-93,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-94,Space biology research study on Mus musculus - GLDS-94,2017,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1162/example.glds-94,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-94,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-95,Space biology research study on Arabidopsis thaliana - GLDS-95,2018,Space Shuttle,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-95,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-96,Space biology research study on Drosophila melanogaster - GLDS-96,2019,,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1164/example.glds-96,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-96,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-97,Space biology research study on Caenorhabditis elegans - GLDS-97,2020,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-97,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-98,Space biology research study on Homo sapiens - GLDS-98,2021,ISS Expedition 50,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1166/example.glds-98,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-98,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-99,Space biology research study on Rattus norvegicus - GLDS-99,2022,ISS Expedition 60,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-99,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-100,Space biology research study on Mus musculus - GLDS-100,2023,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1168/example.glds-100,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-100,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-101,Space biology research study on Arabidopsis thaliana - GLDS-101,2024,,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-101,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-102,Space biology research study on Drosophila melanogaster - GLDS-102,2015,ISS,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1170/example.glds-102,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-102,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-103,Space biology research study on Caenorhabditis elegans - GLDS-103,2016,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-103,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-104,Space biology research study on Homo sapiens - GLDS-104,2017,ISS Expedition 60,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1172/example.glds-104,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-104,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-105,Space biology research study on Rattus norvegicus - GLDS-105,2018,Space Shuttle,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-105,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-106,Space biology research study on Mus musculus - GLDS-106,2019,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1174/example.glds-106,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-106,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-107,Space biology research study on Arabidopsis thaliana - GLDS-107,2020,ISS,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-107,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-108,Space biology research study on Drosophila melanogaster - GLDS-108,2021,ISS Expedition 50,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1176/example.glds-108,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-108,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-109,Space biology research study on Caenorhabditis elegans - GLDS-109,2022,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-109,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-110,Space biology research study on Homo sapiens - GLDS-110,2023,Space Shuttle,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1178/example.glds-110,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-110,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
